seq1,seq2,max_identical_run
gu_1_chr4_298922_301498,gu_3_chr4_309658_312798,39
gu_1_chr4_298922_301498,gu_5_chr4_981163_983769,54
gu_1_chr4_298922_301498,gu_7_chr4_991947_995087,56
gu_1_chr4_298922_301498,gu_18_chr4_2139291_2141793,15
gu_1_chr4_298922_301498,gu_20_chr4_4026438_4029578,50
gu_1_chr4_298922_301498,gu_22_chr4_4037763_4040369,50
gu_1_chr4_298922_301498,gu_31_chr6_73490814_73493957,54
gu_1_chr4_298922_301498,gu_35_chr6_73288931_73292222,49
gu_1_chr4_298922_301498,gu_91_chr10_5322743_5325331,28
gu_1_chr4_298922_301498,gu_93_chr10_5366922_5370094,52
gu_1_chr4_298922_301498,gu_97_chr10_5457762_5460935,50
gu_1_chr4_298922_301498,gu_101_chr10_5546195_5548747,21
gu_1_chr4_298922_301498,gu_103_chr10_5555765_5558329,21
gu_1_chr4_298922_301498,gu_105_chr10_5596381_5599552,36
gu_1_chr4_298922_301498,gu_114_chr10_5751726_5754333,32
gu_1_chr4_298922_301498,gu_115_chr10_5783064_5785890,20
gu_1_chr4_298922_301498,gu_119_chr10_5866549_5869720,50
gu_1_chr4_298922_301498,gu_141_chr10_7062143_7064751,16
gu_1_chr4_298922_301498,gu_142_chr10_7115637_7118201,16
gu_1_chr4_298922_301498,gu_143_chr10_7129995_7132566,16
gu_1_chr4_298922_301498,gu_152_chr10_3920597_3923180,24
gu_1_chr4_298922_301498,gu_158_chr10_4955338_4957914,17
gu_1_chr4_298922_301498,gu_160_chr10_4964802_4967378,17
gu_1_chr4_298922_301498,gu_162_chr10_4974271_4976849,17
gu_1_chr4_298922_301498,gu_164_chr10_4983740_4986318,17
gu_1_chr4_298922_301498,gu_166_chr10_4993209_4995787,17
gu_1_chr4_298922_301498,gu_172_chr10_5125891_5128499,24
gu_1_chr4_298922_301498,gu_178_chr10_5230525_5233113,29
gu_1_chr4_298922_301498,gu_180_chr10_5254541_5257140,24
gu_1_chr4_298922_301498,gu_195_chr10_5612309_5615498,17
gu_1_chr4_298922_301498,gu_217_chr10_6855818_6858430,15
gu_1_chr4_298922_301498,gu_218_chr10_6919275_6921877,15
gu_1_chr4_298922_301498,gu_220_chr10_7053460_7056090,15
gu_1_chr4_298922_301498,gu_326_chr11_33907931_33910505,17
gu_1_chr4_298922_301498,gu_343_chr11_32515810_32518980,50
gu_1_chr4_298922_301498,gu_345_chr11_32527144_32529750,50
gu_1_chr4_298922_301498,gu_363_chr11_34392743_34395320,15
gu_1_chr4_298922_301498,gu_365_chr11_34582309_34584886,15
gu_1_chr4_298922_301498,gu_373_chr15_136776_139917,50
gu_1_chr4_298922_301498,gu_381_chr15_168099_171240,18
gu_1_chr4_298922_301498,gu_427_chr21_7056153_7058762,34
gu_1_chr4_298922_301498,gu_429_chr21_7089478_7092596,34
gu_1_chr4_298922_301498,gu_431_chr21_7224765_7227374,38
gu_1_chr4_298922_301498,gu_433_chr21_7400057_7402666,38
gu_1_chr4_298922_301498,gu_450_chr21_5982716_5985322,15
gu_1_chr4_298922_301498,gu_456_chr21_6946128_6949272,24
gu_1_chr4_298922_301498,gu_458_chr21_7456977_7460095,24
gu_1_chr4_298922_301498,gu_465_chr21_8163177_8165754,15
gu_1_chr4_298922_301498,gu_468_chr23_235937_238532,15
gu_1_chr4_298922_301498,gu_582_chr30_389957_392534,17
gu_1_chr4_298922_301498,gu_585_chr30_990869_994012,39
gu_1_chr4_298922_301498,gu_586_chr30_1165785_1168929,38
gu_1_chr4_298922_301498,gu_588_chr30_1469299_1472475,40
gu_1_chr4_298922_301498,gu_589_chr30_1630221_1632806,35
gu_1_chr4_298922_301498,gu_591_chr30_1759414_1762558,38
gu_1_chr4_298922_301498,gu_592_chr30_2046863_2050034,41
gu_1_chr4_298922_301498,gu_595_chr30_2732109_2735253,39
gu_1_chr4_298922_301498,gu_596_chr30_2913621_2916795,38
gu_1_chr4_298922_301498,gu_597_chr30_3301895_3305039,50
gu_1_chr4_298922_301498,gu_599_chr30_3408377_3411521,50
gu_1_chr4_298922_301498,gu_603_chr30_3641386_3644530,38
gu_1_chr4_298922_301498,gu_605_chr30_4106935_4110079,38
gu_1_chr4_298922_301498,gu_607_chr30_4277650_4280233,34
gu_1_chr4_298922_301498,gu_610_chr30_4700284_4703428,38
gu_1_chr4_298922_301498,gu_614_chr30_4934959_4938099,50
gu_1_chr4_298922_301498,gu_617_chr30_5061831_5064975,38
gu_1_chr4_298922_301498,gu_618_chr30_5189835_5192955,38
gu_1_chr4_298922_301498,gu_619_chr30_5337379_5340523,38
gu_1_chr4_298922_301498,gu_622_chr30_182666_185286,15
gu_1_chr4_298922_301498,gu_638_chr30_1862942_1865555,19
gu_1_chr4_298922_301498,gu_642_chr30_2640916_2644060,19
gu_1_chr4_298922_301498,gu_649_chr30_3797327_3800471,19
gu_1_chr4_298922_301498,gu_652_chr30_4186988_4190106,15
