seq1,seq2,max_identical_run
gu_0_chr1_40564559_40567781,gu_1_chr1A_23886240_23889460,37
gu_0_chr1_40564559_40567781,gu_10_chr7_731175_734562,26
gu_0_chr1_40564559_40567781,gu_11_chr7_738853_742240,28
gu_0_chr1_40564559_40567781,gu_13_chr7_2238514_2241740,34
gu_0_chr1_40564559_40567781,gu_19_chr8_27545488_27548936,29
gu_0_chr1_40564559_40567781,gu_165_chr28_5993558_5996855,29
gu_1_chr1A_23886240_23889460,gu_10_chr7_731175_734562,25
gu_1_chr1A_23886240_23889460,gu_11_chr7_738853_742240,29
gu_1_chr1A_23886240_23889460,gu_13_chr7_2238514_2241740,35
gu_1_chr1A_23886240_23889460,gu_18_chr7_29660300_29663599,26
gu_1_chr1A_23886240_23889460,gu_170_chr29_744198_747443,34
gu_1_chr1A_23886240_23889460,gu_173_chr29_885316_897684,26
gu_1_chr1A_23886240_23889460,gu_175_chr29_929733_932981,34
gu_1_chr1A_23886240_23889460,gu_177_chr29_1121970_1125218,26
gu_1_chr1A_23886240_23889460,gu_184_chr29_1427627_1430873,34
gu_1_chr1A_23886240_23889460,gu_191_chr29_1930679_1933927,34
gu_1_chr1A_23886240_23889460,gu_194_chr29_2125215_2128460,35
gu_1_chr1A_23886240_23889460,gu_197_chr29_2302794_2306041,35
gu_1_chr1A_23886240_23889460,gu_199_chr29_2431075_2434225,26
gu_1_chr1A_23886240_23889460,gu_320_chr34_1729344_1732591,34
gu_3_chr6_396658_399970,gu_4_chr6_531268_534582,96
gu_3_chr6_396658_399970,gu_5_chr6_540330_543643,110
gu_3_chr6_396658_399970,gu_6_chr6_549251_552565,110
gu_3_chr6_396658_399970,gu_7_chr6_558289_561603,110
gu_3_chr6_396658_399970,gu_8_chr6_567247_570559,110
gu_3_chr6_396658_399970,gu_9_chr6_576198_579510,99
gu_3_chr6_396658_399970,gu_14_chr7_3252147_3256307,24
gu_3_chr6_396658_399970,gu_106_chr22_195984_199487,24
gu_3_chr6_396658_399970,gu_107_chr22_227088_230611,28
gu_3_chr6_396658_399970,gu_112_chr25_1039316_1042607,30
gu_3_chr6_396658_399970,gu_115_chr25_1266520_1269817,30
gu_3_chr6_396658_399970,gu_119_chr25_1486267_1489564,30
gu_3_chr6_396658_399970,gu_122_chr25_1686365_1689887,28
gu_3_chr6_396658_399970,gu_125_chr25_1943453_1946751,24
gu_3_chr6_396658_399970,gu_129_chr25_2196640_2200000,24
gu_3_chr6_396658_399970,gu_132_chr25_2387820_2391117,30
gu_3_chr6_396658_399970,gu_134_chr25_2555274_2558571,30
gu_3_chr6_396658_399970,gu_135_chr25_2696105_2699464,30
gu_3_chr6_396658_399970,gu_136_chr25_2885280_2888577,25
gu_3_chr6_396658_399970,gu_137_chr25_3009639_3012935,36
gu_3_chr6_396658_399970,gu_142_chr25_3311510_3314806,30
gu_3_chr6_396658_399970,gu_143_chr25_3414686_3418192,24
gu_3_chr6_396658_399970,gu_144_chr25_3440324_3443823,24
gu_3_chr6_396658_399970,gu_148_chr25_3987589_3991039,23
gu_3_chr6_396658_399970,gu_149_chr25_4059649_4063008,24
gu_3_chr6_396658_399970,gu_152_chr25_4236188_4239485,30
gu_3_chr6_396658_399970,gu_155_chr25_4432026_4435323,30
gu_3_chr6_396658_399970,gu_159_chr25_4765948_4769467,28
gu_3_chr6_396658_399970,gu_161_chr25_4960897_4964193,30
gu_3_chr6_396658_399970,gu_163_chr28_5729521_5733037,36
gu_3_chr6_396658_399970,gu_198_chr29_2392670_2396178,23
gu_3_chr6_396658_399970,gu_200_chr29_2440668_2444317,27
gu_3_chr6_396658_399970,gu_203_chr30_2356706_2359763,27
gu_3_chr6_396658_399970,gu_208_chr30_3430251_3433571,28
gu_3_chr6_396658_399970,gu_225_chr30_6785028_6788382,26
gu_3_chr6_396658_399970,gu_232_chr30_8562056_8565564,23
gu_3_chr6_396658_399970,gu_233_chr30_9008213_9010764,26
gu_3_chr6_396658_399970,gu_237_chr30_9413321_9416498,30
gu_3_chr6_396658_399970,gu_242_chr31_3023279_3026583,28
gu_3_chr6_396658_399970,gu_249_chr31_3629970_3633342,26
gu_3_chr6_396658_399970,gu_250_chr31_3726637_3729960,24
gu_3_chr6_396658_399970,gu_251_chr31_3796421_3799743,30
gu_3_chr6_396658_399970,gu_255_chr31_3921763_3925248,23
gu_3_chr6_396658_399970,gu_256_chr31_3973856_3976803,28
gu_3_chr6_396658_399970,gu_268_chr31_4904022_4907319,30
gu_3_chr6_396658_399970,gu_271_chr32_3085861_3089319,23
gu_3_chr6_396658_399970,gu_276_chr32_4315921_4319428,23
gu_3_chr6_396658_399970,gu_287_chr33_2658462_2661782,30
gu_3_chr6_396658_399970,gu_292_chr33_3070974_3074297,30
gu_3_chr6_396658_399970,gu_293_chr33_3081041_3084364,30
gu_3_chr6_396658_399970,gu_294_chr33_3090071_3093247,32
gu_3_chr6_396658_399970,gu_295_chr33_3098926_3102246,36
gu_3_chr6_396658_399970,gu_299_chr33_3480813_3484133,30
gu_3_chr6_396658_399970,gu_302_chr33_3656216_3659511,30
gu_3_chr6_396658_399970,gu_304_chr34_454434_457898,23
gu_3_chr6_396658_399970,gu_324_chr34_1940524_1944046,28
gu_3_chr6_396658_399970,gu_327_chr35_2231709_2235102,26
gu_3_chr6_396658_399970,gu_328_chr35_2258214_2261608,26
gu_3_chr6_396658_399970,gu_330_chr35_2293713_2297107,26
gu_3_chr6_396658_399970,gu_333_chr35_2388522_2391914,26
gu_3_chr6_396658_399970,gu_336_chr35_2470710_2474098,26
gu_3_chr6_396658_399970,gu_338_chr35_2509685_2513079,26
gu_3_chr6_396658_399970,gu_339_chr35_2554992_2580750,26
gu_3_chr6_396658_399970,gu_340_chr35_2616331_2619724,26
gu_3_chr6_396658_399970,gu_342_chr35_2667738_2671129,26
gu_3_chr6_396658_399970,gu_343_chr35_2701691_2705011,27
gu_3_chr6_396658_399970,gu_346_chr35_2838781_2842181,26
gu_3_chr6_396658_399970,gu_347_chr35_2865367_2868760,26
gu_3_chr6_396658_399970,gu_348_chr35_2887071_2890464,26
gu_3_chr6_396658_399970,gu_352_chr35_3066534_3069931,26
gu_3_chr6_396658_399970,gu_354_chr35_3126591_3129985,26
gu_3_chr6_396658_399970,gu_359_chr35_3290846_3294232,26
gu_3_chr6_396658_399970,gu_361_chr35_3331866_3335259,26
gu_3_chr6_396658_399970,gu_364_chr35_3425950_3429271,27
gu_3_chr6_396658_399970,gu_365_chr35_3453342_3456735,26
gu_3_chr6_396658_399970,gu_367_chr35_3522849_3526187,27
gu_3_chr6_396658_399970,gu_368_chr35_3560995_3564388,26
gu_3_chr6_396658_399970,gu_369_chr35_3587142_3590536,26
gu_3_chr6_396658_399970,gu_374_chr35_3740785_3744179,26
gu_3_chr6_396658_399970,gu_382_chr36_3267027_3270717,27
gu_3_chr6_396658_399970,gu_400_chr37_4683342_4686689,26
gu_3_chr6_396658_399970,gu_406_chr37_7118591_7122007,29
gu_3_chr6_396658_399970,gu_409_chr37_7229212_7232508,30
gu_4_chr6_531268_534582,gu_5_chr6_540330_543643,62
gu_4_chr6_531268_534582,gu_6_chr6_549251_552565,96
gu_4_chr6_531268_534582,gu_7_chr6_558289_561603,62
gu_4_chr6_531268_534582,gu_8_chr6_567247_570559,96
gu_4_chr6_531268_534582,gu_9_chr6_576198_579510,96
gu_4_chr6_531268_534582,gu_14_chr7_3252147_3256307,24
gu_4_chr6_531268_534582,gu_106_chr22_195984_199487,24
gu_4_chr6_531268_534582,gu_107_chr22_227088_230611,28
gu_4_chr6_531268_534582,gu_112_chr25_1039316_1042607,30
gu_4_chr6_531268_534582,gu_115_chr25_1266520_1269817,30
gu_4_chr6_531268_534582,gu_119_chr25_1486267_1489564,30
gu_4_chr6_531268_534582,gu_122_chr25_1686365_1689887,28
gu_4_chr6_531268_534582,gu_125_chr25_1943453_1946751,24
gu_4_chr6_531268_534582,gu_129_chr25_2196640_2200000,24
gu_4_chr6_531268_534582,gu_132_chr25_2387820_2391117,30
gu_4_chr6_531268_534582,gu_134_chr25_2555274_2558571,30
gu_4_chr6_531268_534582,gu_135_chr25_2696105_2699464,30
gu_4_chr6_531268_534582,gu_136_chr25_2885280_2888577,25
gu_4_chr6_531268_534582,gu_137_chr25_3009639_3012935,36
gu_4_chr6_531268_534582,gu_142_chr25_3311510_3314806,30
gu_4_chr6_531268_534582,gu_143_chr25_3414686_3418192,24
gu_4_chr6_531268_534582,gu_144_chr25_3440324_3443823,24
gu_4_chr6_531268_534582,gu_148_chr25_3987589_3991039,23
gu_4_chr6_531268_534582,gu_149_chr25_4059649_4063008,24
gu_4_chr6_531268_534582,gu_152_chr25_4236188_4239485,30
gu_4_chr6_531268_534582,gu_155_chr25_4432026_4435323,30
gu_4_chr6_531268_534582,gu_159_chr25_4765948_4769467,28
gu_4_chr6_531268_534582,gu_161_chr25_4960897_4964193,30
gu_4_chr6_531268_534582,gu_163_chr28_5729521_5733037,28
gu_4_chr6_531268_534582,gu_198_chr29_2392670_2396178,23
gu_4_chr6_531268_534582,gu_200_chr29_2440668_2444317,27
gu_4_chr6_531268_534582,gu_203_chr30_2356706_2359763,27
gu_4_chr6_531268_534582,gu_208_chr30_3430251_3433571,28
gu_4_chr6_531268_534582,gu_225_chr30_6785028_6788382,26
gu_4_chr6_531268_534582,gu_232_chr30_8562056_8565564,23
gu_4_chr6_531268_534582,gu_233_chr30_9008213_9010764,26
gu_4_chr6_531268_534582,gu_237_chr30_9413321_9416498,30
gu_4_chr6_531268_534582,gu_242_chr31_3023279_3026583,28
gu_4_chr6_531268_534582,gu_249_chr31_3629970_3633342,26
gu_4_chr6_531268_534582,gu_250_chr31_3726637_3729960,24
gu_4_chr6_531268_534582,gu_251_chr31_3796421_3799743,30
gu_4_chr6_531268_534582,gu_255_chr31_3921763_3925248,23
gu_4_chr6_531268_534582,gu_256_chr31_3973856_3976803,28
gu_4_chr6_531268_534582,gu_268_chr31_4904022_4907319,30
gu_4_chr6_531268_534582,gu_271_chr32_3085861_3089319,23
gu_4_chr6_531268_534582,gu_276_chr32_4315921_4319428,23
gu_4_chr6_531268_534582,gu_287_chr33_2658462_2661782,30
gu_4_chr6_531268_534582,gu_292_chr33_3070974_3074297,30
gu_4_chr6_531268_534582,gu_293_chr33_3081041_3084364,30
gu_4_chr6_531268_534582,gu_294_chr33_3090071_3093247,32
gu_4_chr6_531268_534582,gu_295_chr33_3098926_3102246,36
gu_4_chr6_531268_534582,gu_299_chr33_3480813_3484133,30
gu_4_chr6_531268_534582,gu_302_chr33_3656216_3659511,30
gu_4_chr6_531268_534582,gu_304_chr34_454434_457898,23
gu_4_chr6_531268_534582,gu_324_chr34_1940524_1944046,28
gu_4_chr6_531268_534582,gu_327_chr35_2231709_2235102,26
gu_4_chr6_531268_534582,gu_328_chr35_2258214_2261608,26
gu_4_chr6_531268_534582,gu_330_chr35_2293713_2297107,26
gu_4_chr6_531268_534582,gu_333_chr35_2388522_2391914,26
gu_4_chr6_531268_534582,gu_336_chr35_2470710_2474098,26
gu_4_chr6_531268_534582,gu_338_chr35_2509685_2513079,26
gu_4_chr6_531268_534582,gu_339_chr35_2554992_2580750,26
gu_4_chr6_531268_534582,gu_340_chr35_2616331_2619724,26
gu_4_chr6_531268_534582,gu_342_chr35_2667738_2671129,26
gu_4_chr6_531268_534582,gu_343_chr35_2701691_2705011,27
gu_4_chr6_531268_534582,gu_346_chr35_2838781_2842181,26
gu_4_chr6_531268_534582,gu_347_chr35_2865367_2868760,26
gu_4_chr6_531268_534582,gu_348_chr35_2887071_2890464,26
gu_4_chr6_531268_534582,gu_352_chr35_3066534_3069931,26
gu_4_chr6_531268_534582,gu_354_chr35_3126591_3129985,26
gu_4_chr6_531268_534582,gu_359_chr35_3290846_3294232,26
gu_4_chr6_531268_534582,gu_361_chr35_3331866_3335259,26
gu_4_chr6_531268_534582,gu_364_chr35_3425950_3429271,27
gu_4_chr6_531268_534582,gu_365_chr35_3453342_3456735,26
gu_4_chr6_531268_534582,gu_367_chr35_3522849_3526187,27
gu_4_chr6_531268_534582,gu_368_chr35_3560995_3564388,26
gu_4_chr6_531268_534582,gu_369_chr35_3587142_3590536,26
gu_4_chr6_531268_534582,gu_374_chr35_3740785_3744179,26
gu_4_chr6_531268_534582,gu_382_chr36_3267027_3270717,27
gu_4_chr6_531268_534582,gu_400_chr37_4683342_4686689,26
gu_4_chr6_531268_534582,gu_406_chr37_7118591_7122007,29
gu_4_chr6_531268_534582,gu_409_chr37_7229212_7232508,30
gu_5_chr6_540330_543643,gu_6_chr6_549251_552565,110
gu_5_chr6_540330_543643,gu_7_chr6_558289_561603,110
gu_5_chr6_540330_543643,gu_8_chr6_567247_570559,110
gu_5_chr6_540330_543643,gu_9_chr6_576198_579510,99
gu_5_chr6_540330_543643,gu_14_chr7_3252147_3256307,24
gu_5_chr6_540330_543643,gu_106_chr22_195984_199487,24
gu_5_chr6_540330_543643,gu_107_chr22_227088_230611,28
gu_5_chr6_540330_543643,gu_112_chr25_1039316_1042607,30
gu_5_chr6_540330_543643,gu_115_chr25_1266520_1269817,30
gu_5_chr6_540330_543643,gu_119_chr25_1486267_1489564,30
