seq1,seq2,max_identical_run
gu_1_chr7_905517_908856,gu_12_chr7_1110110_1132512,41
gu_1_chr7_905517_908856,gu_15_chr7_1189520_1211974,49
gu_1_chr7_905517_908856,gu_16_chr7_1229428_1239494,26
gu_1_chr7_905517_908856,gu_17_chr7_1247334_1271713,54
gu_1_chr7_905517_908856,gu_18_chr7_1376229_1417989,54
gu_1_chr7_905517_908856,gu_20_chr7_1475083_1478569,73
gu_1_chr7_905517_908856,gu_22_chr7_1493319_1518287,54
gu_1_chr7_905517_908856,gu_23_chr7_1569246_1610616,54
gu_1_chr7_905517_908856,gu_224_chr7_5076258_5079744,36
gu_2_chr7_931266_934660,gu_13_chr7_1146186_1156455,51
gu_2_chr7_931266_934660,gu_19_chr7_1442340_1467106,33
gu_2_chr7_931266_934660,gu_252_chr25_5355115_5358533,26
gu_2_chr7_931266_934660,gu_255_chr25_6278289_6281711,34
gu_2_chr7_931266_934660,gu_747_chrunknown_1613183_1635533,26
gu_3_chr7_949477_960199,gu_14_chr7_1171344_1182544,106
gu_3_chr7_949477_960199,gu_21_chr7_1484955_1488227,53
gu_3_chr7_949477_960199,gu_24_chr7_1618645_1629784,64
gu_3_chr7_949477_960199,gu_216_chr7_4948313_4951611,24
gu_3_chr7_949477_960199,gu_225_chr7_5089980_5112900,26
gu_4_chr7_967186_970100,gu_5_chr7_976606_979520,63
gu_4_chr7_967186_970100,gu_6_chr7_986021_988935,63
gu_4_chr7_967186_970100,gu_7_chr7_995426_998340,63
gu_4_chr7_967186_970100,gu_8_chr7_1004841_1007755,63
gu_4_chr7_967186_970100,gu_9_chr7_1014236_1017150,63
gu_4_chr7_967186_970100,gu_11_chr7_1033081_1059142,63
gu_4_chr7_967186_970100,gu_19_chr7_1442340_1467106,63
gu_4_chr7_967186_970100,gu_25_chr7_1636750_1639664,57
gu_4_chr7_967186_970100,gu_26_chr7_1646154_1649067,57
gu_4_chr7_967186_970100,gu_27_chr7_1655557_1658470,57
gu_4_chr7_967186_970100,gu_28_chr7_1664971_1667885,57
gu_4_chr7_967186_970100,gu_29_chr7_1674376_1677290,57
gu_4_chr7_967186_970100,gu_30_chr7_1683780_1686693,57
gu_4_chr7_967186_970100,gu_31_chr7_1693189_1696103,57
gu_4_chr7_967186_970100,gu_32_chr7_1702589_1705503,57
gu_4_chr7_967186_970100,gu_33_chr7_1711999_1714913,57
gu_4_chr7_967186_970100,gu_34_chr7_1721399_1724313,57
gu_4_chr7_967186_970100,gu_35_chr7_1730804_1733718,57
